titulo,ano,track,link,key_file
Desafios e Oportunidades rumo à Internet Quântica,2021,Workshop de Comunicação e Computação Quântica (WQuantum),https://sol.sbc.org.br/index.php/wquantum/article/view/17221,17221-2102-13812-1-10-20210916
Caracterização das pesquisas sobre a próxima rede global de comunicação: a Internet Quântica,2021,Workshop de Comunicação e Computação Quântica (WQuantum),https://sol.sbc.org.br/index.php/wquantum/article/view/17220,17220-2102-13811-1-10-20210916
Análise de desempenho de linguagens de programação e bibliotecas quânticas,2021,Workshop de Comunicação e Computação Quântica (WQuantum),https://sol.sbc.org.br/index.php/wquantum/article/view/17219,17219-2102-13810-1-10-20210916
Optimization of a Polarization-Encoding System for Practical Quantum Key Distribution,2022,Workshop de Comunicação e Computação Quântica (WQuantum),https://sol.sbc.org.br/index.php/wquantum/article/view/21500,21500-2102-17427-1-10-20220825
Desafios e Oportunidades de Pesquisa para o Roteamento em Redes Quânticas,2022,Workshop de Comunicação e Computação Quântica (WQuantum),https://sol.sbc.org.br/index.php/wquantum/article/view/21499,21499-2102-17426-1-10-20220825
Efficient Randomness Extraction in Quantum Random Number Generators,2022,Workshop de Comunicação e Computação Quântica (WQuantum),https://sol.sbc.org.br/index.php/wquantum/article/view/21498,21498-2102-17425-1-10-20220825
Collision Warning in Vehicular Networks Based on Quantum Secure Multiparty Computation,2022,Workshop de Comunicação e Computação Quântica (WQuantum),https://sol.sbc.org.br/index.php/wquantum/article/view/21496,21496-2102-17423-1-10-20220825
Demonstration of a Polarization-encoding Quantum Key Distribution System,2022,Workshop de Comunicação e Computação Quântica (WQuantum),https://sol.sbc.org.br/index.php/wquantum/article/view/21495,21495-2102-17422-1-10-20220825
CV-QKD Security Limits Using Higher-Order Probabilistic Shaped Regular M-APSK Constellations,2022,Workshop de Comunicação e Computação Quântica (WQuantum),https://sol.sbc.org.br/index.php/wquantum/article/view/21494,21494-2102-17421-1-10-20220825
Impact of Shot Noise Estimation on the Secret Key Rate of a CV-QKD System,2022,Workshop de Comunicação e Computação Quântica (WQuantum),https://sol.sbc.org.br/index.php/wquantum/article/view/21493,21493-2102-17420-1-10-20220825
Alocação de Recursos em Redes de Distribuição Quântica de Chaves Multiprotocolo,2024,Workshop de Pesquisa Experimental da Internet do Futuro (WPEIF),https://sol.sbc.org.br/index.php/wpeif/article/view/29866,29866-301-24307-1-10-20240810
ReqRoute: Protocolo de Roteamento por Reforço para Redes de Entrelaçamento Quântico,2024,Trilha Principal SBRC,https://sol.sbc.org.br/index.php/sbrc/article/view/29824,29824-157-24265-1-10-20240808
qIDS: Sistema de Detecção de Ataques baseado em Aprendizado de Máquina Quântico Híbrido,2024,Trilha Principal SBRC,https://sol.sbc.org.br/index.php/sbrc/article/view/29800,29800-157-24241-1-10-20240808
Distributed Quantum Walk Control Plane Implementation,2024,Workshop de Redes Quânticas,https://sol.sbc.org.br/index.php/wqunets/article/view/30011,30011-2546-24451-1-10-20240828
Multipurpose Quantum Network Simulators: A Comparative Study,2024,Workshop de Redes Quânticas,https://sol.sbc.org.br/index.php/wqunets/article/view/30010,30010-2546-24450-1-10-20240828
The Rio Quantum Network: a reconfigurable hybrid multi-user metropolitan quantum key distribution network,2024,Workshop de Redes Quânticas,https://sol.sbc.org.br/index.php/wqunets/article/view/30009,30009-2546-24449-1-10-20240828
Arquitetura para sistema de computação quântica distribuída multi-QPU com particionamento de circuitos,2024,Workshop de Redes Quânticas,https://sol.sbc.org.br/index.php/wqunets/article/view/30007,30007-2546-24447-1-10-20240828
Optical simulation of Markovian quantum channels,2024,Workshop de Redes Quânticas,https://sol.sbc.org.br/index.php/wqunets/article/view/30006,30006-2546-24446-2-10-20240903
Estudo e Simulação de uma Rede de Distribuição de Chaves Quânticas de Alto Desempenho para o Campus da UFPA,2023,Escola Regional de Informática Norte 2 (ERIN 2),https://sol.sbc.org.br/index.php/erad-eramia-no2/article/view/26633,26633-2174-22007-1-10-20231218
Alocação de Recursos em Redes de Distribuição Quântica de Chaves Definidas por Software,2024,Escola Regional de Informática Norte 2 (ERIN 2),https://sol.sbc.org.br/index.php/erin/article/view/31631,31631-2606-25940-1-10-20241121
