titulo_original,titulo_revisado,autor,afiliação,orcid
Multipurpose Quantum Network Simulators: A comparative study,Multipurpose Quantum Network Simulators: A comparative study,Diego Abreu,Federal University of Pará (UFPA),
Multipurpose Quantum Network Simulators: A comparative study,Multipurpose Quantum Network Simulators: A comparative study,Arthur Pimentel,Federal University of Pará (UFPA),
Multipurpose Quantum Network Simulators: A comparative study,Multipurpose Quantum Network Simulators: A comparative study,Polyana Moraes,Federal University of Pará (UFPA),
Multipurpose Quantum Network Simulators: A comparative study,Multipurpose Quantum Network Simulators: A comparative study,David Tavares,Federal University of Pará (UFPA),
Multipurpose Quantum Network Simulators: A comparative study,Multipurpose Quantum Network Simulators: A comparative study,Alan Veloso,Federal University of Pará (UFPA),
Multipurpose Quantum Network Simulators: A comparative study,Multipurpose Quantum Network Simulators: A comparative study,Antônio Abelém,Federal University of Pará (UFPA),
Análise de desempenho de linguagens de programação e bibliotecas quânticas,Análise de desempenho de linguagens de programação e bibliotecas quânticas,Jorge G. Viegas,,
Análise de desempenho de linguagens de programação e bibliotecas quânticas,Análise de desempenho de linguagens de programação e bibliotecas quânticas,Gilberto Irajá Müller,,
Optimization of a Polarization-Encoding System for Practical Quantum Key Distribution,Optimization of a Polarization-Encoding System for Practical Quantum Key Distribution,Hugo F. Costa,,
Optimization of a Polarization-Encoding System for Practical Quantum Key Distribution,Optimization of a Polarization-Encoding System for Practical Quantum Key Distribution,Nelson J. Muga,,
Optimization of a Polarization-Encoding System for Practical Quantum Key Distribution,Optimization of a Polarization-Encoding System for Practical Quantum Key Distribution,Nuno A. Silva,,
Optimization of a Polarization-Encoding System for Practical Quantum Key Distribution,Optimization of a Polarization-Encoding System for Practical Quantum Key Distribution,Armando N.Pinto,,
Desafios e Oportunidades rumo `a Internet Quântica,Desafios e Oportunidades rumo `a Internet Quântica,Antônio J. G. Abelém,Universidade Federal do Pará (UFPA),
Desafios e Oportunidades rumo `a Internet Quântica,Desafios e Oportunidades rumo `a Internet Quântica,Christian R. Esteve Rothenberg,Universidade Estadual de Campinas (Unicamp),
Caracterização das pesquisas sobre a próxima rede global de comunicação: a Internet Quântica,Caracterização das pesquisas sobre a próxima rede global de comunicação: a Internet Quântica,Moniele S. Sousa,,
Caracterização das pesquisas sobre a próxima rede global de comunicação: a Internet Quântica,Caracterização das pesquisas sobre a próxima rede global de comunicação: a Internet Quântica,Alex F. de Paulo,"Faculdade de Informação e Comunicação Universidade Federal de Goiás, Goiânia, GO – Brazil",
Caracterização das pesquisas sobre a próxima rede global de comunicação: a Internet Quântica,Caracterização das pesquisas sobre a próxima rede global de comunicação: a Internet Quântica,Flávio de O. Silva,,
Caracterização das pesquisas sobre a próxima rede global de comunicação: a Internet Quântica,Caracterização das pesquisas sobre a próxima rede global de comunicação: a Internet Quântica,João H. de S. Pereira,,
Estudo e Simulação de uma Rede de Distribuição de Chaves Quânticas de Alto Desempenho para o Campus da UFPA,Estudo e Simulação de uma Rede de Distribuição de Chaves Quânticas de Alto Desempenho para o Campus da UFPA,David Tavares,Universidade Federal do Pará (UFPA),
Estudo e Simulação de uma Rede de Distribuição de Chaves Quânticas de Alto Desempenho para o Campus da UFPA,Estudo e Simulação de uma Rede de Distribuição de Chaves Quânticas de Alto Desempenho para o Campus da UFPA,Arthur Pimentel,Universidade Federal do Pará (UFPA),
Estudo e Simulação de uma Rede de Distribuição de Chaves Quânticas de Alto Desempenho para o Campus da UFPA,Estudo e Simulação de uma Rede de Distribuição de Chaves Quânticas de Alto Desempenho para o Campus da UFPA,Diego Abreu,Universidade Federal do Pará (UFPA),
Estudo e Simulação de uma Rede de Distribuição de Chaves Quânticas de Alto Desempenho para o Campus da UFPA,Estudo e Simulação de uma Rede de Distribuição de Chaves Quânticas de Alto Desempenho para o Campus da UFPA,Antônio Abelém,Universidade Federal do Pará (UFPA),
The Rio Quantum Network: a reconfigurable hybrid multi-user metropolitan quantum key distribution network,The Rio Quantum Network: a reconfigurable hybrid multi-user metropolitan quantum key distribution network,Guilherme P. Temporão,"Departamento de Eng. Elétrica, Pontifícia Universidade Católica do Rio de Janeiro Rio de Janeiro, RJ – Brazil",
The Rio Quantum Network: a reconfigurable hybrid multi-user metropolitan quantum key distribution network,The Rio Quantum Network: a reconfigurable hybrid multi-user metropolitan quantum key distribution network,Fernando R. V. Bandeira de Melo,"Centro Brasileiro de Pesquisas Físicas Rio de Janeiro, RJ – Brazil",
The Rio Quantum Network: a reconfigurable hybrid multi-user metropolitan quantum key distribution network,The Rio Quantum Network: a reconfigurable hybrid multi-user metropolitan quantum key distribution network,Antonio Z. Khoury,"Departamento de Física, Universidade Federal Fluminense Niterói, RJ – Brazil",
Optical simulation of Markovian quantum channels,Optical simulation of Markovian quantum channels,Marcello H. Passos,,
Optical simulation of Markovian quantum channels,Optical simulation of Markovian quantum channels,Paola C. Obando,,
Optical simulation of Markovian quantum channels,Optical simulation of Markovian quantum channels,Fagner M. Paula,,
Optical simulation of Markovian quantum channels,Optical simulation of Markovian quantum channels,José A.O. Huguenin,,
Desafios e Oportunidades de Pesquisa para o Roteamento em Redes Quânticas,Desafios e Oportunidades de Pesquisa para o Roteamento em Redes Quânticas,Diego Abreu,Universidade Federal do Pará (UFPA),
Desafios e Oportunidades de Pesquisa para o Roteamento em Redes Quânticas,Desafios e Oportunidades de Pesquisa para o Roteamento em Redes Quânticas,Antônio Abelém Christian R. Esteve Rothenberg,"Universidade Federal do Pará (UFPA), Universidade Estadual de Campinas (Unicamp)",
Alocação de Recursos em Redes de Distribuição Quântica de Chaves Multiprotocolo,Alocação de Recursos em Redes de Distribuição Quântica de Chaves Multiprotocolo,Arthur Pimentel,"Instituto de Ciências Exatas Universidade Federal do Pará UFPA, Belém, Pará",
Alocação de Recursos em Redes de Distribuição Quântica de Chaves Multiprotocolo,Alocação de Recursos em Redes de Distribuição Quântica de Chaves Multiprotocolo,Diego Abreu,"Instituto de Ciências Exatas Universidade Federal do Pará UFPA, Belém, Pará",
Alocação de Recursos em Redes de Distribuição Quântica de Chaves Multiprotocolo,Alocação de Recursos em Redes de Distribuição Quântica de Chaves Multiprotocolo,Antônio Abelém,"Instituto de Ciências Exatas Universidade Federal do Pará UFPA, Belém, Pará",
Efficient Randomness Extraction in Quantum Random Number Generators,Efficient Randomness Extraction in Quantum Random Number Generators,Maurício J. Ferreira,,
Efficient Randomness Extraction in Quantum Random Number Generators,Efficient Randomness Extraction in Quantum Random Number Generators,Nuno A. Silva,,
Efficient Randomness Extraction in Quantum Random Number Generators,Efficient Randomness Extraction in Quantum Random Number Generators,Nelson J. Muga,,
Alocação de Recursos em Redes de Distribuição Quântica de Chaves Definidas por Software,Alocação de Recursos em Redes de Distribuição Quântica de Chaves Definidas por Software,Arthur Pimentel,Universidade Federal do Pará (UFPA),
Alocação de Recursos em Redes de Distribuição Quântica de Chaves Definidas por Software,Alocação de Recursos em Redes de Distribuição Quântica de Chaves Definidas por Software,Diego Abreu,Universidade Federal do Pará (UFPA),
Alocação de Recursos em Redes de Distribuição Quântica de Chaves Definidas por Software,Alocação de Recursos em Redes de Distribuição Quântica de Chaves Definidas por Software,Antônio Abelém,Universidade Federal do Pará (UFPA),
Distributed Quantum Walk Control Plane Implementation,Distributed Quantum Walk Control Plane Implementation,André Ribeiro,Departamento de Ciência da Computação Universidade de São Paulo (USP),
Distributed Quantum Walk Control Plane Implementation,Distributed Quantum Walk Control Plane Implementation,Matheus Guedes de Andrade,Manning College of Information and Computer Sciences University of Massachusetts Amherst,
Distributed Quantum Walk Control Plane Implementation,Distributed Quantum Walk Control Plane Implementation,Fabio Kon,Departamento de Ciência da Computação Universidade de São Paulo (USP),
Distributed Quantum Walk Control Plane Implementation,Distributed Quantum Walk Control Plane Implementation,and Don Towsley,Manning College of Information and Computer Sciences University of Massachusetts Amherst,
qIDS: Sistema de Detecção de Ataques baseado em Aprendizado de Máquina Quântico Híbrido,qIDS: Sistema de Detecção de Ataques baseado em Aprendizado de Máquina Quântico Híbrido,Diego Abreu,Universidade Federal do Pará (UFPA),
