id,titulo_original,titulo_revisado,autor,afiliação,orcid,key_file
1,Multipurpose Quantum Network Simulators: A comparative study,Multipurpose Quantum Network Simulators: A comparative study,Diego Abreu,Federal University of Pará (UFPA),https://orcid.org/0000-0003-3969-8322,30010-2546-24450-1-10-20240828
1,Multipurpose Quantum Network Simulators: A comparative study,Multipurpose Quantum Network Simulators: A comparative study,Arthur Pimentel,Federal University of Pará (UFPA),,30010-2546-24450-1-10-20240828
1,Multipurpose Quantum Network Simulators: A comparative study,Multipurpose Quantum Network Simulators: A comparative study,Polyana Moraes,Federal University of Pará (UFPA),,30010-2546-24450-1-10-20240828
1,Multipurpose Quantum Network Simulators: A comparative study,Multipurpose Quantum Network Simulators: A comparative study,David Tavares,Federal University of Pará (UFPA),,30010-2546-24450-1-10-20240828
1,Multipurpose Quantum Network Simulators: A comparative study,Multipurpose Quantum Network Simulators: A comparative study,Alan Veloso,Federal University of Pará (UFPA),,30010-2546-24450-1-10-20240828
1,Multipurpose Quantum Network Simulators: A comparative study,Multipurpose Quantum Network Simulators: A comparative study,Antônio Abelém,Federal University of Pará (UFPA),https://orcid.org/0000-0003-4085-6674,30010-2546-24450-1-10-20240828
2,Análise de desempenho de linguagens de programação e bibliotecas quânticas,Análise de desempenho de linguagens de programação e bibliotecas quânticas,Jorge G. Viegas,Universidade do Vale do Rio dos Sinos - UNISINOS Caixa Postal 93.022-718 – S˜ao Leopoldo – RS – Brasil,,17219-2102-13810-1-10-20210916
2,Análise de desempenho de linguagens de programação e bibliotecas quânticas,Análise de desempenho de linguagens de programação e bibliotecas quânticas,Gilberto Irajá Müller,Universidade do Vale do Rio dos Sinos - UNISINOS Caixa Postal 93.022-718 – S˜ao Leopoldo – RS – Brasil,,17219-2102-13810-1-10-20210916
3,Optimization of a Polarization-Encoding System for Practical Quantum Key Distribution,Optimization of a Polarization-Encoding System for Practical Quantum Key Distribution,Hugo F. Costa,"Instituto de Telecomunicacões – University of Aveiro, 3810-193, Aveiro, Portugal, Physics Department – University of Coimbra, R. Larga 2, 3000-370 Coimbra.",,21500-2102-17427-1-10-20220825
3,Optimization of a Polarization-Encoding System for Practical Quantum Key Distribution,Optimization of a Polarization-Encoding System for Practical Quantum Key Distribution,Nelson J. Muga,"Instituto de Telecomunicacões – University of Aveiro, 3810-193, Aveiro, Portugal. / Physics Department – University of Coimbra, R. Larga 2, 3000-370 Coimbra.",https://orcid.org/0000-0003-4412-8025,21500-2102-17427-1-10-20220825
